comp,income_source,year,dollars,employment,dollars_per_wkr,pct_change
"Compensation of Employees, Paid","Compensation of Employees, Paid",2015,9693100000000.0,148840000.0,65124.29454447729,
"Compensation of Employees, Paid","Compensation of Employees, Paid",2016,9978600000000.0,151400000.0,65908.85072655218,0.01204705843744791
"Compensation of Employees, Paid","Compensation of Employees, Paid",2017,10422600000000.0,153335000.0,67972.73942674536,0.031314287496166715
"Compensation of Employees, Paid","Compensation of Employees, Paid",2018,10950100000000.0,155758000.0,70302.00695951412,0.03426767189924762
"Compensation of Employees, Paid","Compensation of Employees, Paid",2019,11432500000000.0,157536000.0,72570.71399553119,0.03227087154600827
"Compensation of Employees, Paid","Compensation of Employees, Paid",2020,11448600000000.0,147793000.0,77463.74997462667,0.06742438801686301
"Compensation of Employees, Paid","Compensation of Employees, Paid",2021,12311500000000.0,153034000.0,80449.44260752512,0.03854309446517146
"Compensation of Employees, Paid","Compensation of Employees, Paid",2022,13103300000000.0,158620000.0,82608.1200353045,0.02683272074749543
"Compensation of Employees, Paid","Compensation of Employees, Paid",2023,13647100000000.0,160575000.0,84988.9459754009,0.028820725360641397
"Compensation of Employees, Paid","Compensation of Employees, Paid",2024,14135900000000.0,160530000.0,88057.68392200835,0.036107495055835326
"Compensation of Employees, Paid","Compensation of Employees, Paid",2025,14648200000000.0,160418000.0,91312.69558278997,0.03696453865019378
"Compensation of Employees, Paid","Compensation of Employees, Paid",2026,15192500000000.0,160477000.0,94670.8874168884,0.03677683385278763
"Compensation of Employees, Paid","Compensation of Employees, Paid",2027,15794100000000.0,160924000.0,98146.32994457011,0.03671078430243724
"Compensation of Employees, Paid","Compensation of Employees, Paid",2028,16408000000000.0,161329000.0,101705.21109038053,0.03626097020459507
"Compensation of Employees, Paid","Compensation of Employees, Paid",2029,17030000000000.0,161612000.0,105375.83842783951,0.03609084822799358
"Compensation of Employees, Paid","Compensation of Employees, Paid",2030,17654900000000.0,161873000.0,109066.36684314246,0.03502252955102403
"Compensation of Employees, Paid","Compensation of Employees, Paid",2031,18298500000000.0,162352000.0,112708.8055582931,0.033396534794169375
tot_personal,tot_personal,2015,15458500000000.0,148840000.0,103859.84950282182,
tot_personal,tot_personal,2016,15928700000000.0,151400000.0,105209.37912813739,0.01299375679606496
tot_personal,tot_personal,2017,16948599999999.998,153335000.0,110533.1463788437,0.050601641173287026
tot_personal,tot_personal,2018,17851900000000.0,155758000.0,114613.05358312254,0.03691116500289682
tot_personal,tot_personal,2019,18551500000000.0,157536000.0,117760.38492788949,0.027460496395241396
tot_personal,tot_personal,2020,19691000000000.0,147793000.0,133233.64435392746,0.13139613491848734
tot_personal,tot_personal,2021,20897100000000.0,153034000.0,136552.00805049858,0.024906349388417848
tot_personal,tot_personal,2022,21119500000000.0,158620000.0,133145.25280544697,-0.02494840825622824
tot_personal,tot_personal,2023,21961900000000.0,160575000.0,136770.35653121595,0.0272266840115285
tot_personal,tot_personal,2024,22835600000000.0,160530000.0,142251.29259328474,0.04007400580854559
tot_personal,tot_personal,2025,23768900000000.0,160418000.0,148168.53470308817,0.041597106092537306
tot_personal,tot_personal,2026,24768500000000.0,160477000.0,154342.98996117825,0.041671838561830654
tot_personal,tot_personal,2027,25828200000000.0,160924000.0,160499.36616042355,0.039887630794205986
tot_personal,tot_personal,2028,26971600000000.0,161329000.0,167183.8293177296,0.04164791000249024
tot_personal,tot_personal,2029,28130900000000.0,161612000.0,174064.42590896715,0.04115587386242425
tot_personal,tot_personal,2030,29333300000000.0,161873000.0,181211.814200021,0.041061740523545165
tot_personal,tot_personal,2031,30656600000000.0,162352000.0,188827.97871292007,0.042029072698827274
tot_nonwage,div,2015,951100000000.0,148840000.0,6390.08331093792,
tot_nonwage,div,2016,962500000000.0,151400000.0,6357.331571994716,-0.005125400929772428
tot_nonwage,div,2017,1160900000000.0,153335000.0,7571.004662992794,0.19090920101517828
