This file presents data that supplement CBO's July 2021 report An Update to the Budget and Economic Outlook: 2021 to 2031.,,,,,,,,,,,,,,,,,,,,
www.cbo.gov/publication/57218,,,,,,,,,,,,,,,,,,,,
NOTE: relevant 2015 and 2016 were taken from different files than 2017-2031,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
July 2021 Baseline Forecast—Data Release (Calendar Year),,,,,,,,,,,,,,,,,,,,
,,Source file:,17-Jun,18-Aug,21-Jul,21-Jul,21-Jul,21-Jul,21-Jul,21-Jul,21-Jul,21-Jul,21-Jul,21-Jul,21-Jul,21-Jul,21-Jul,21-Jul,21-Jul,21-Jul
,,,Units,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031
Output,,,,,,,,,,,,,,,,,,,,
,Gross Domestic Product (GDP),,Billions of dollars,,,19543,20611.9,21433.2,20936.6,22973.6,24637.6,25564.5,26404.6,27310.1,28291.3,29373.8,30471,31586.9,32746.1,33983.8
,,,"Percentage change, annual rate",,,4.256,5.469,3.984,-2.317,9.729,7.243,3.762,3.286,3.429,3.593,3.826,3.735,3.662,3.669,3.779
,Gross National Product (GNP),,Billions of dollars,,,19835.3,20896.6,21702.9,21140.6,23277.1,25007.5,25977.5,26840.1,27750.7,28723.8,29792.2,30874.6,31975.3,33115.2,34335.8
,,,"Percentage change, annual rate",,,4.521,5.35,3.858,-2.59,10.105,7.433,3.878,3.32,3.392,3.506,3.719,3.632,3.565,3.565,3.685
,Real GDP,,Billions of chained (2012) dollars,,,18144.1,18687.8,19091.7,18426.1,19657.5,20638.8,20955.7,21183.7,21450.9,21757.2,22115.2,22461.2,22805.2,23161,23551.9
,,,"Percentage change, annual rate",,,2.332,2.996,2.161,-3.486,6.683,4.992,1.535,1.087,1.261,1.427,1.645,1.564,1.531,1.56,1.687
,Real GNP,,Billions of chained (2012) dollars,,,18421,18951.9,19338.4,18612,19923.9,20955.5,21301,21539.6,21803.5,22096,22436.3,22764.7,23091.4,23427.8,23801.3
,,,"Percentage change, annual rate",,,2.593,2.881,2.039,-3.756,7.048,5.177,1.648,1.12,1.224,1.341,1.539,1.463,1.435,1.456,1.594
,Real Gross Value Added: Nonfarm Business,,Billions of chained (2012) dollars,,,13778.5,14258.5,14609,13995.8,15186.2,16056.2,16290.1,16464,16685.7,16953.1,17277.4,17591.1,17904,18231.8,18598.7
,,,"Percentage change, annual rate",,,2.779,3.483,2.458,-4.197,8.505,5.728,1.456,1.068,1.346,1.602,1.913,1.815,1.778,1.83,2.012
,,,,,,,,,,,,,,,,,,,,
Potential GDP and Its Components,,,,,,,,,,,,,,,,,,,,
,Potential GDP,,Billions of dollars,,,19736.8,20575.5,21350.4,22019.9,23080.7,24076.5,25116.6,26168.6,27222.3,28285.5,29383,30521.1,31697.7,32908.9,34155.8
,,,"Percentage change, annual rate",,,3.593,4.249,3.765,3.135,4.817,4.314,4.319,4.188,4.026,3.905,3.88,3.873,3.855,3.821,3.789
,Real Potential GDP,,Billions of chained (2012) dollars,,,18324.4,18654.9,19017.9,19381.7,19748.5,20162.8,20581.2,20987.1,21375.6,21747.3,22117.7,22494.8,22883.1,23275.5,23671.9
,,,"Percentage change, annual rate",,,1.683,1.803,1.945,1.912,1.892,2.097,2.074,1.972,1.85,1.739,1.702,1.705,1.726,1.714,1.703
,Potential Labor Force,,Millions,,,162.097,162.701,163.209,163.703,164.23,164.751,165.293,165.974,166.673,167.29,167.865,168.422,168.99,169.552,170.125
,,,"Percentage change, annual rate",,,0.46,0.372,0.312,0.302,0.321,0.317,0.328,0.412,0.421,0.369,0.343,0.332,0.337,0.332,0.338
,Potential Labor Force Productivity ,,Ratio of potential GDP to potential labor force,,,113.045,114.656,116.523,118.394,120.247,122.382,124.512,126.446,128.247,129.996,131.758,133.561,135.41,137.275,139.143
,,,"Percentage change, annual rate",,,1.217,1.425,1.628,1.605,1.565,1.775,1.74,1.553,1.423,1.364,1.354,1.368,1.384,1.377,1.36
,Potential Labor Force Participation Rate,,Percent,,,63.492,63.253,63.03,62.826,62.636,62.441,62.235,62.026,61.825,61.638,61.468,61.314,61.174,61.04,60.911
,Noncyclical Rate of Unemployment,,Percent,,,4.616,4.583,4.542,4.496,4.46,4.438,4.423,4.411,4.399,4.385,4.368,4.348,4.326,4.303,4.28
,Output Gap,,Percentage of potential GDP,,,-0.984,0.176,0.387,-4.93,-0.46,2.36,1.819,0.936,0.352,0.045,-0.011,-0.149,-0.34,-0.491,-0.507
,,,,,,,,,,,,,,,,,,,,
Potential GDP and Its Components (Nonfarm Business Sector) ,,,,,,,,,,,,,,,,,,,,
,Real Potential GDP,,Billions of chained (2012) dollars,,,13922.3,14208.1,14524.7,14839.5,15157.1,15523.1,15894.5,16252.5,16595.9,16928.3,17262.9,17606.6,17963.3,18327.2,18697.9
,,,"Percentage change, annual rate",,,1.889,2.052,2.228,2.167,2.139,2.415,2.392,2.252,2.112,2.003,1.976,1.99,2.025,2.025,2.022
,Potential Hours Worked,,2012=100,,,111.275,111.851,112.436,113.003,113.5,113.956,114.413,114.923,115.365,115.694,115.983,116.304,116.715,117.149,117.59
,,,"Percentage change, annual rate",,,0.5,0.517,0.523,0.503,0.44,0.401,0.401,0.445,0.385,0.284,0.25,0.276,0.352,0.371,0.376
,Capital Services Index,,2012=100,,,113.365,116.296,119.499,122.185,125.233,129.179,132.891,136.062,138.999,141.872,144.834,147.839,150.851,153.896,156.987
,,,"Percentage change, annual rate",,,2.283,2.585,2.754,2.247,2.494,3.15,2.873,2.386,2.158,2.066,2.087,2.074,2.037,2.018,2.009
,Potential Total Factor Productivity,,2012=100,,,103.601,104.514,105.518,106.603,107.76,108.974,110.205,111.448,112.701,113.965,115.239,116.523,117.815,119.116,120.428
,,,"Percentage change, annual rate",,,0.799,0.88,0.96,1.028,1.085,1.125,1.13,1.127,1.124,1.121,1.118,1.114,1.108,1.104,1.101
