fips,county,region,cog,msa,hisp,race,sex,tot2010,tot2011,tot2012,tot2013,tot2014,tot2015,tot2016,tot2017,tot2018,tot2019,tot2020,tot2021,tot2022,tot2023,tot2024,tot2025,tot2026,tot2027,tot2028,tot2029,tot2030,tot2031,tot2032,tot2033,tot2034,tot2035,tot2036,tot2037,tot2038,tot2039,tot2040,tot2041,tot2042,tot2043,tot2044,tot2045,tot2046,tot2047,tot2048,tot2049,tot2050
37001,Alamance,Central North Carolina,Piedmont Triad Council of Governments,Burlington,Total,Total,Total,151431,151954,152533,153244,155030,156496,159741,162832,166352,168761,170698,171649,173165,175110,177047,178981,180918,182853,184790,186726,188660,190597,192531,194465,196402,198339,200278,202211,204149,206085,208019,209956,211890,213826,215766,217696,219633,221569,223504,225439,227378
37003,Alexander,Western North Carolina,Western Piedmont Council of Governments,Hickory-Lenoir-Morganton,Total,Total,Total,37233,37155,37320,37409,37589,37548,37902,38071,38270,38364,38524,38569,38744,38941,39133,39324,39519,39709,39904,40095,40286,40479,40671,40866,41057,41248,41439,41631,41828,42019,42211,42404,42595,42789,42982,43172,43366,43557,43752,43944,44135
37005,Alleghany,Western North Carolina,High Country Council of Governments,Non-Metropolitan,Total,Total,Total,11137,11066,10991,11062,11176,11230,11289,11349,11415,11494,11558,11587,11675,11753,11833,11911,11989,12066,12147,12226,12302,12381,12459,12537,12616,12695,12774,12853,12931,13010,13087,13165,13245,13322,13401,13479,13559,13635,13715,13793,13873
37007,Anson,Central North Carolina,Centralina Council of Governments,Non-Metropolitan,Total,Total,Total,26852,26700,26592,26279,26294,26020,25631,25447,25236,23944,23889,23755,23673,23624,23576,23527,23476,23427,23376,23328,23277,23229,23179,23131,23081,23032,22982,22934,22884,22833,22786,22738,22690,22641,22592,22544,22496,22448,22398,22348,22300
37009,Ashe,Western North Carolina,High Country Council of Governments,Non-Metropolitan,Total,Total,Total,27228,27107,27166,27142,27196,26986,27071,27289,27605,27797,28020,28125,28393,28626,28869,29104,29344,29577,29818,30054,30294,30528,30767,31007,31244,31481,31720,31956,32197,32435,32673,32911,33147,33385,33624,33864,34100,34341,34579,34815,35056
37011,Avery,Western North Carolina,High Country Council of Governments,Non-Metropolitan,Total,Total,Total,17799,17928,17825,17861,17885,17776,17862,17974,18083,18128,18182,18175,18241,18310,18376,18445,18508,18579,18644,18711,18780,18845,18911,18980,19047,19112,19180,19247,19317,19381,19449,19517,19584,19649,19719,19787,19853,19919,19987,20054,20123
37013,Beaufort,Eastern North Carolina,Mid-East Commission,Non-Metropolitan,Total,Total,Total,47822,47880,47802,47675,47594,47617,47477,47460,47447,47436,47400,47213,47156,47149,47139,47128,47115,47103,47093,47078,47069,47060,47044,47035,47025,47012,47000,46988,46978,46966,46955,46943,46931,46920,46909,46897,46884,46872,46862,46848,46838
37015,Bertie,Eastern North Carolina,Mid-East Commission,Non-Metropolitan,Total,Total,Total,21245,20940,20575,20460,20450,20405,19789,19773,19711,19630,19496,19315,19189,19101,19018,18930,18841,18754,18668,18580,18496,18408,18320,18233,18146,18059,17974,17886,17800,17713,17625,17539,17452,17365,17279,17189,17103,17017,16931,16841,16757
37017,Bladen,Eastern North Carolina,Lumber River Council of Governments,Non-Metropolitan,Total,Total,Total,35181,35013,35082,35020,35012,34854,34616,34508,34526,34475,34421,34255,34167,34123,34078,34034,33990,33947,33901,33856,33813,33769,33724,33681,33636,33592,33547,33503,33457,33413,33367,33322,33280,33235,33191,33148,33102,33058,33014,32969,32925
37019,Brunswick,Eastern North Carolina,Cape Fear Council of Governments,Myrtle Beach-Conway-North Myrtle Beach (NC),Total,Total,Total,108069,110157,112418,115285,119048,122956,127156,131776,137284,143169,147644,150889,154692,157961,161221,164483,167739,171001,174256,177517,180776,184036,187297,190554,193815,197075,200335,203592,206850,210110,213371,216632,219887,223149,226408,229666,232928,236186,239446,242704,245966
